"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"100","Mca",0,0,0,0,99.5,0,0,0,0,1239.5,0,0,0,0,0,0,0,0,0,103,0,0,0,0,231,0,933.5,0,0,0,1274,1343.5,0,0,402,0,16774,5562,0,0,88,29987,0,0,2904,2470,65235,0,604.5,43885,0,44848,0,305.5,2080,2141.5,27072,7143.5,0,0,0,0,0,0,0,0
"101","Mca",0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,512.5,0,0,0,777,897.5,0,0,205,0,11964,3548,0,0,0,22713,0,0,1980,1528,65235,0,298.5,35337,0,37199,0,168.5,1285,1403.5,20298.5,4559,0,0,0,0,0,0,0,0
"102","Mca",0,0,0,0,403,0,0,0,0,1392.5,0,0,0,0,0,0,0,0,0,202,0,0,0,0,191,0,1257,0,0,0,1452,1573,0,0,388,0,23279,2729,95,0,178,37077,0,0,2172,1328,65235,0,581,60020.5,0,31848,0,1001.5,3185,1168,22009.5,9638.5,0,0,0,0,0,0,0,0
"103","Mca",0,0,0,0,178,0,0,0,0,1245,0,0,0,0,0,0,0,0,0,86,0,0,0,0,186,0,1039,0,0,0,92,864,0,0,127.5,0,20153,923.5,0,0,96.5,30916,0,0,952,1085.5,65235,0,464,43406,0,4535,0,734,2622,778.5,2213.5,4843,0,0,0,0,0,0,0,0
"104","Mca",0,0,0,0,192,0,0,0,0,762,0,0,0,0,0,0,0,0,0,103.5,0,0,0,0,97,0,749,0,0,0,976,956,0,0,90,0,16480,1762,0,0,0,28662,0,0,1384,704,65235,0,282,51197,0,23224.5,0,570.5,1683,711,15525,6086,0,0,0,0,0,0,0,0
"105","Mca",0,0,0,0,50.5,0,0,0,0,794.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,107,0,638,0,0,0,0,474,0,0,0,0,14428,550.5,0,0,0,23081,0,0,689.5,670.5,65235,0,185,35057.5,0,3109,0,394,1799,486,1406,3255,0,0,0,0,0,0,0,0
"106","Mpn",0,0,0,0,0,0,0,0,0,0,312,875,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,0,0,0,0,0,0,0,0,0,2728,0,0,0,0,0,0,0,0,0,0,452.5,0,0,0
"107","Mpn",0,0,0,0,0,0,0,0,0,0,384,864,804.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,0,0,0,0,0,0,0,0,0,3040,0,0,0,0,0,0,0,0,0,0,376.5,0,0,0
"108","Mpn",0,0,0,0,0,0,0,0,0,0,573,1184,841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,0,0,0,0,0,0,0,0,0,2596.5,0,0,0,0,0,0,0,0,0,0,473,0,0,0
"109","Mpn",0,0,0,0,0,0,0,0,0,0,399.5,1033,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,0,0,0,0,0,0,0,0,0,3525.5,0,0,0,0,0,0,0,0,0,0,559,0,0,0
