;1;2;3;4;6;7;14;16;19;21;24;25;26;27;29;30;31;32;34;35;38;41;43;51;52;53;54;55;56;58;61;62;63;65;68;70;72;73;74;77;78;79;81;82;83;84;85;86;87;89;90;102;108;110;118;122;123;127;128;137;141;143;164;169;170;171;172;173
RD2017101064_6.10.S0147_2018-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1185;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;994;0;0;0;0;2093,5;0;0;0;0;0;0;0;0;2498;5993;5543;0;0;0;881;0;0;0;0;0;0;56;0;0;0
RD2017101066_6.10.22674_2018-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3174;0;0;169,5;0;0;0;0;0;0;0;0;0;0;0;0;2889;0;0;0;0;12659;0;0;0;383;97,5;0;0;206;5657;27529;39722,5;0;0;28;4730;0;0;0;0;0;0;386;0;0;0
RD2017101067_5.10.71472_2018-11-14;0;0;4697;11;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1031;0;0;0;185;0;461;0;0;926;1513;1624;2748;0;4914;1568,5;2398;18610;5911,5;984;4045;23616;30665;45438;40002;7862;14370;65235;4872;9746,5;30680;0;29167,5;102;0;382;0;36543;0;0;0;1901,5;0;0;996,5;0;0;0
RD2017101068_6.10.10080_2018-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5559;0;0;105;0;0;0;0;0;0;101,5;0;0;0;0;0;5457;51,5;0;0;0;19889;0;0;0;206,5;309;97;0;287,5;10306,5;42523;61108;0;0;245;7252;0;0;0;0;0;0;867;0;0;0
RD2017101070_12.10.71877_2018-11-14;0;0;6828;389;1227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508,5;4136,5;343;0;0;600;0;556,5;109;84,5;0;2348;1613;6583;0;4275;4393;9110;29213;8445;4;27936,5;7149;48986,5;32968;12467;32024;4050,5;34006;33594,5;28400;25599,5;808,5;56355,5;2235,5;218;351;195;57057,5;0;64;0;1534;0;298;2681;0;0;0
RD2017101071_12.10.H0365_2018-11-14;0;0;1971;0;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399;0;0;0;0;0;0;0;0;0;208;419;245,5;0;2566;226;303;8388;5127;0;5122;15224,5;17271;30199;1941;501;8363;7984,5;770;12841;16704;17;17676;743;0;186,5;0;19811,5;0;0;0;1205;0;303;698,5;0;0;0
RD2017101072_27.10.H0162_2018-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5122;0;176;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;5163,5;600;0;0;0;23530;0;0;0;1133,5;842;0;0;10;0;39985;0;0;0;0;5982;0;0;0;0;0;1412;0;0;0;0
RD2017101074_Tneg_2018-11-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RD2017101075_27.10.B0042_2018-11-16;0;0;2169;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;1;388;0;0;870,5;404;1215;1765,5;0;1232;1564;118;10063,5;4808;2507;475,5;20343;24682;34946;5588;13419;6730,5;65235;13898;33744;19604,5;0;11439;463,5;0;73;0;17986;0;0;0;2;0;0;0;0;0;0
