label1_kpn;label2_Pa;label3_Mca;label4_Hi;label5_Sau;label6 _Spn;Souche;4;6;7;16;19;21;24;25;26;27;29;32;35;38;56;58;62;63;68;72;77;83;118;123;128;137;141;143;164;169;170;171;173;213;218;220;223;225;226;230;232;234;236;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^8;103,21;46,7;6,9;8,83;49,6;0,37;0;0,46;0,44;0;0,12;0,12;0,12;14,3;91,62;71,2;129,33;118,73;163,54;151,18;165,45;168,36;0;20,89;6,76;19,64;0;15,64;0,03;0;29,66;5,43;7,51;0;0;0;0;0;0;0,21;0;0;0,03;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^7;87,42;22,42;4,1;7,38;44,73;0,3;0;0,34;0,17;0;0,2;0;0,24;12,02;65,27;50,83;107,8;99,7;145,09;122,66;156,19;159,89;0;5,53;3,38;11,74;0;17,31;0;0,12;19,32;6,81;8,22;0;0;0,26;0,06;0,02;0,04;0,14;0;0;0,03;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^6;52,18;6,76;0,68;3,22;40,75;0,08;0,06;0,19;0,2;0;0;0,22;0,03;6,26;86,72;60,37;97,26;76,03;115,94;83,43;116,96;121,94;0,06;7,2;1,1;4,12;0;7,51;0,04;0,19;12,85;3,52;4,97;0,05;0;0,07;0;0;0;0,07;0;0;0;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^5;24,18;0,75;0,48;1,33;38,31;0,15;0,03;0,29;0,15;0;0,05;0,37;0,02;2,82;72,38;40,3;81,78;66,24;78,1;57,15;94,36;94,7;0;2,64;0,19;0,92;0,06;3,96;0,04;0,12;7,89;0,78;2,18;0;0,09;0,27;0,08;0,47;0,11;0,04;0,09;0;0;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^4;8,45;0,61;4,78;1,01;15,21;0,14;0,08;0,1;0,12;0,39;0,12;0,07;0,27;2,68;37,55;13;43,2;51,79;59,06;27,51;48,02;59,43;0,5;0,32;0,31;0,36;0,03;4,43;0,01;0,69;6,01;0,49;0,87;0,19;0,05;0,16;0,05;0,13;0,04;0,18;0,06;0;0,02;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^3;3,32;4,41;3,67;0,4;6,47;0,19;0,02;0,09;0,11;0,07;0,04;0,05;1,24;9,81;19,03;4,64;26,61;30,41;33,48;11;16,4;20,46;0;0,18;0,05;0,55;0,12;4,72;1;2,31;7,61;0,29;0,41;0,25;0,03;0,33;0,05;0;0;0,18;0;0,02;0,03;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Kpn_10^2;0,12;0,4;1,33;0;0,19;0,1;0,09;0,02;0,16;0;0;0,09;0;0,31;0,63;0,2;0,56;0,68;0,96;0,27;0,59;0,58;0;0;0;0,04;0;1,66;0;0,03;0,15;0;0,07;0;0,18;0,22;0;0,01;0;0;0;0;0;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^8;3,65;111,26;4,58;0;0,22;0;0,01;0,19;0;0;0;0;102,83;154,28;0,37;0,64;0,16;106,01;4,65;0,44;11,15;0,08;0;10,38;11,28;52,5;14,63;158,46;0;0,96;128,32;0,2;0;0;0,19;0,87;0,07;0,06;0,07;54,69;0;0;0;0
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Pa_10^7;3,04;104;4,94;0,22;0,68;0,15;0,13;0,42;0;0,24;0;0,01;87,89;164,26;0,86;0,98;0,69;105,87;3,69;0,57;8,72;0,08;0,47;8,56;9,8;56,33;11,78;159,27;0;0,9;122,66;0,24;0,47;0;0;0,76;0,17;0,22;0,05;47,08;0;0;0;
