"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"173","Nm",0,0,0,0,32618,0,0,0,3,52,0,0,0,2594,1483,0,0,0,102,12356,0,0,0,100,748,0,1104,298,0,0,1464,0,188,0,90,0,2526,456,43,0,0,21650,0,0,0,3856,8680,0,186,3251,0,18320,0,135,476,52,11992,10,61,0,3912,56,0,0,0,0
"174","Hi",0,0,92,0,42,0,0,2178,0,0,0,0,0,0,0,0,0,142,0,56,0,934,0,256,498,0,0,204,0,0,0,776,46,0,1508,0,6492,427,0,21241,24910,28804,38240,1583,21352,5023,14643,405,613,32947,0,16303,0,6,2114,0,18534,0,0,0,0,0,0,2656,2390,2660
"175","Lpn",0,0,2064,1090,0,0,0,0,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18548,290,4,202,0,181,128,396,1073,1442,1892,3481,2072,3545,648,3196,3808,8455,10828,20194,6455,5512,3179,20544,8682,22044,33853,0,16202,264,0,292,2280,15454,0,42,0,0,26097,3565,0,0,0
"176","Mca",0,0,0,0,777,0,0,546,0,397,0,0,0,0,0,0,0,0,0,1,0,2,0,0,281,0,319,49,0,0,1,237,105,0,235,0,8948,275,0,5470,6242,19457,10205,0,3632,1849,35031,0,92,23412,0,5706,0,197,1400,243,5938,1628,0,0,0,0,0,678,560,501
"177","Mca",0,0,0,0,30326,0,2,36,0,364,0,0,0,1256,780,0,0,1562,0,3923,0,0,0,0,632,0,714,194,0,0,921,186,51,0,49,0,7497,913,0,128,281,21513,1574,0,593,1501,25536,0,101,14860,0,14362,0,484,864,153,15400,1655,0,0,2254,244,0,46,98,98
"178","Xneg",0,0,182,102,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,95,0,0,0,294,141,97,181,430,198,3439,822,365,376,1303,7114,1760,923,1116,254,19821,1294,3726,9200,0,4391,0,100,356,386,5552,745,0,0,0,0,0,0,0,0
"179","Mca",0,0,0,0,93,0,0,0,0,1134,0,0,0,0,0,0,0,0,0,43,0,0,0,0,337,0,650,0,0,0,493,609,96,0,69,0,14728,1780,0,530,48,23816,0,52,822,693,53937,0,233,32050,0,8038,0,570,1998,534,8524,3606,0,0,0,0,0,0,0,0
"180","Spn",0,0,0,0,7257,0,0,0,0,0,0,0,0,51,0,0,52,3699,51,1027,497,39,0,0,500,3,56,0,0,0,135,434,2349,0,577,0,8608,586,0,4622,1034,29840,2141,0,5122,3246,9066,0,0,1200,0,51882,294,0,508,0,16362,0,102,705,210,4450,1628,0,0,0
"181","Spn",0,0,0,0,96,0,44,0,0,381,0,0,0,0,0,0,48,6882,0,52,0,6,0,0,152,0,374,0,0,0,488,626,0,0,45,0,13944,978,0,0,0,31276,0,0,692,1103,34268,42,141,25598,50,28935,154,285,878,356,11002,3043,0,0,0,0,0,0,0,0
"182","Bp",0,0,0,0,27644,359,0,546,0,0,0,0,0,0,0,0,0,248,28674,11802,0,2,0,0,298,0,0,49,0,0,1,0,105,0,235,0,2944,0,0,5470,6242,19714,10205,0,3441,2644,2414,0,0,5930,0,20669,0,0,500,0,7868,0,0,0,0,684,3,678,560,501
"183","Kpn",0,0,1933,1139,0,0,0,0,211,558,0,0,0,0,0,0,0,0,0,0,0,0,0,96,586,197,719,204,466,362,446,1470,1586,2584,4280,2022,5638,201,8547,6792,14000,15152,12121,8264,3770,2300,41664,10107,24231,18838,0,4918,0,162,1176,142,5496,1089,0,0,0,0,0,0,0,0
"184","Kpn",0,0,2284,1310,0,0,0,0,306,0,156,438,430,0,0,0,0,0,0,0,0,0,0,150,238,0,194,52,310,157,414,1255,1610,2298,4127,2408,2916,677,3975,5679,8676,12448,13542,7025,7869,1729,20832,9698,24584,15286,0,5900,302,0,285,2579,5305,0,44,0,0,0,264,0,0,0
"185","Lpn",0,0,0,0,105,0,0,0,469,0,0,0,0,0,0,0,0,0,1,53,284,0,0,0,99,0,98,0,0,0,0,0,246,0,0,0,514,43,0,148,337,1135,9630,0,0,1324,339,0,573,21904,0,17121,0,0,0,0,9476,0,56,102,0,28336,3310,0,0,0
"186","Xneg",0,0,0,0,0,0,4,299,0,0,156,438,430,0,0,0,48,251,0,0,0,0,0,14,520,0,0,0,0,0,0,0,44,0,148,0,1694,192,0,0,139,6457,3900,37,1570,347,0,0,0,2359,0,9195,4,0,612,0,3398,0,0,0,0,192,226,473,498,488
"187","Hi",0,0,92,0,42,0,0,1830,0,0,192,432,402,0,0,0,0,142,0,56,0,934,0,256,498,0,0,204,0,0,0,776,0,0,1268,0,5698,324,0,18074,19836,24014,27236,619,15962,4006,10960,405,613,22518,0,13999,0,6,1738,0,14255,0,0,0,0,0,188,2255,2186,2378
"188","Mca",0,0,0,0,98,0,408,0,0,866,0,0,0,0,0,0,0,0,6,85,2009,0,0,0,568,0,918,0,0,0,550,96,1637,0,500,0,3379,322,0,5864,104,1904,244,0,0,1891,9587,0,0,2112,0,5986,0,409,969,0,2700,313,110,1380,0,0,1621,0,0,0
"189","Lpn",0,0,0,0,148,0,0,0,346,0,0,0,0,0,0,0,0,100,0,194,99,0,0,0,46,0,0,0,0,0,0,0,60,0,0,0,2428,12,0,0,438,8331,9352,0,0,2136,836,0,976,21274,0,27648,0,0,0,0,8565,0,1,200,0,21190,2952,0,0,0
"190","Mca",0,0,0,0,544,0,222,0,0,938,0,0,0,0,0,0,88,0,192,256,4356,0,0,59,634,0,1674,0,0,0,1774,47,3251,0,1268,0,6234,1286,0,11228,0,4998,851,0,0,4435,15984,0,0,782,0,15627,353,376,1081,4,8758,0,550,4968,0,91,2942,0,0,0
"191","Xneg",0,0,0,0,6816,286,0,0,0,0,192,432,402,0,0,0,0,0,7812,3756,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,4974,0,0,0,246,0,0,0,0,0,6070,0,0,0,0,292,0,0,0,0,0,188,0,0,0
