Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","457823","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","377287","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","6794","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","125181","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2515","Seigle","2013","2013","Milliers de tonnes","5505","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2516","Avoine","2013","2013","Milliers de tonnes","3909","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","23044","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2518","Sorgho","2013","2013","Milliers de tonnes","24151","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","5326","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
