Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2511","Blé","2017","2017","Milliers de tonnes","771775","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2805","Riz (Eq Blanchi)","2017","2017","Milliers de tonnes","767558","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2513","Orge","2017","2017","Milliers de tonnes","148111","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2514","Maïs","2017","2017","Milliers de tonnes","1161299","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2515","Seigle","2017","2017","Milliers de tonnes","13760","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2516","Avoine","2017","2017","Milliers de tonnes","26158","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2517","Millet","2017","2017","Milliers de tonnes","28452","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2518","Sorgho","2017","2017","Milliers de tonnes","56610","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBS","Nouveaux Bilans Alimentaire","5000","Monde","5511","Production","2520","Céréales, Autres","2017","2017","Milliers de tonnes","32443","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
